variant,attack_success_rate,explanation_similarity_mean,explanation_similarity_std,prompt_perplexity_mean,prompt_perplexity_std
baseline,0.4166666666666667,0.8138386408487955,0.05429435428955942,71.05302092546093,61.056012834343086
fluent,0.9166666666666666,0.7629671369989713,0.18459385723208754,175.61556335182524,33.11702345704381
gibberish,0.6666666666666666,0.825573111573855,0.06254067077995365,358.11334914401976,89.7725646415038
